Bezirk Stadtteil Land;Gesamtbetrag d Einkünfte (1000€);Festgesetzte Einkommensteuer/Jahreslohnsteuer (Steuerpflichtige);Festgesetzte Einkommensteuer/Jahreslohnsteuer (1000 Euro);Gesamtbetrag der Einkünfte (Mittelwert);Gesamtbetrag der Einkünfte (Median)
Bezirk Hamburg-Mitte;134169;3493867;550324;26041;18808 
Hamburg-Altstadt;1952;61168;11577;31336;10811 
HafenCity;1255;116973;34051;93206;57913 
Neustadt;7015;242164;46861;34521;24715 
St. Pauli;11066;309596;55589;27977;19399 
St. Georg;5683;250742;58371;44121;27161 
Hammerbrook;1199;23342;3731;19468;10502 
Borgfelde;3643;95508;15100;26217;21584 
Hamm;21255;547216;83252;25745;21932 
Horn;17772;385386;48253;21685;18299 
Billstedt;29100;676500;86376;23247;17396 
Billbrook; 403;9118;1256;22625;10281 
Rothenburgsort;4024;82382;10663;20473;15460 
Veddel;1911;30252;3070;15831;11004 
Wilhelmsburg;21384;468089;59935;21890;15695 
Kleiner Grasbrook und Steinwerder; 588;8101;1000;13777;8057 
Waltershof und Finkenwerder;5919;187330;31238;31649;23654 
Bezirk Altona;130362 6338207 1466864;48620;27176 
Altona-Altstadt;14861;458214;83362;30833;23000 
Sternschanze;4147;129077;24274;31125;23311 
Altona-Nord;11541;345089;58452;29901;23723 
Ottensen;18815;768220;162565;40830;29432 
Bahrenfeld;14963;502234;90501;33565;26092 
Groß Flottbek;5126;440592;122722;85952;41796 
Othmarschen;7056;763870;229357;108258;46527 
Lurup;15733;419520;59408;26665;19769 
Osdorf;11482;495761;113136;43177;22884 
Nienstedten;3286;396674;116319;120716;45730 
Blankenese;6279;735514;217981;117139;42805 
Iserbrook;5539;218454;40383;39439;27762 
Sülldorf;4247;185099;37048;43584;28262 
Rissen;7287;479889;111355;65855;32239 
Bezirk Eimsbüttel;134036 5985061 1304480;44653;28759 
Eimsbüttel;32492 1219607;239934;37536;29879 
Rotherbaum;8142;555214;153434;68191;34708 
Harvestehude;9233 1025675;314433;111088;40032 
Hoheluft-West;7902;333220;69742;42169;31812 
Lokstedt;14273;596291;120496;41778;29006 
Niendorf;20811;866807;168101;41651;28831 
Schnelsen;13530;512323;93072;37866;26703 
Eidelstedt;15376;475699;76045;30938;23550 
Stellingen;12277;400225;69224;32600;25240 
Bezirk Hamburg-Nord;161769 6652363 1421594;41123;27898 
Hoheluft-Ost;5182;269496;62220;52006;34494 
Eppendorf;13210;771964;194552;58438;35967 
Groß Borstel;4064;173251;37528;42631;26893 
Alsterdorf;6302;330389;78679;52426;31064 
Winterhude;29898 1543547;374122;51627;32722 
Uhlenhorst;9924;620042;159218;62479;36176 
Hohenfelde;5111;202093;42292;39541;27159 
Barmbek-Süd;19291;630408;115621;32679;26379 
Dulsberg;8895;188925;24717;21239;18654 
Barmbek-Nord;23386;662525;111378;28330;24237 
Ohlsdorf;9124;356285;68501;39049;28517 
Fuhlsbüttel;6490;256521;49124;39526;28332 
Langenhorn;20892;646917;103645;30965;23465 
Bezirk Wandsbek;205276 8203648 1635480;39964;25923 
Eilbek;12199;397193;72002;32559;25845 
Wandsbek;17913;511726;80472;28567;23119 
Marienthal;6621;391504;96030;59131;31948 
Jenfeld;10163;243655;32145;23975;17978 
Tonndorf;7211;232268;38234;32210;24910 
Farmsen-Berne;16784;530420;83344;31603;25453 
Bramfeld;25974;803335;128252;30928;23738 
Steilshoop;8598;195436;24621;22730;17902 
Wellingsbüttel;5156;456852;126949;88606;40692 
Sasel;10933;670843;165215;61360;36962 
Poppenbüttel;11517;600694;131622;52157;30605 
Hummelsbüttel;7872;300196;57208;38135;25099 
Lemsahl-Mellingstedt;3126;235049;59514;75191;43877 
Duvenstedt;2738;179871;42997;65694;38567 
